CreditCardID,CardType,CardNumber,ExpMonth,ExpYear,ModifiedDate
1,SuperiorCard,33332664695310,11,2006,2013-07-29 00:00:00.000
2,Distinguish,55552127249722,8,2005,2013-12-05 00:00:00.000
3,ColonialVoice,77778344838353,7,2005,2014-01-14 00:00:00.000
4,ColonialVoice,77774915718248,7,2006,2013-05-20 00:00:00.000
5,Vista,11114404600042,4,2005,2013-02-01 00:00:00.000
6,Distinguish,55557132036181,9,2006,2014-04-10 00:00:00.000
7,Distinguish,55553635401028,6,2007,2013-02-01 00:00:00.000
8,SuperiorCard,33336081193101,7,2007,2013-06-30 00:00:00.000
9,Distinguish,55553465625901,2,2005,2013-09-23 00:00:00.000
10,SuperiorCard,33332126386493,8,2008,2011-08-31 00:00:00.000
11,SuperiorCard,33335352517363,10,2008,2014-05-04 00:00:00.000
12,SuperiorCard,33334316194519,4,2008,2012-05-30 00:00:00.000
13,Vista,11119775847802,11,2005,2014-03-01 00:00:00.000
14,Distinguish,55553287727410,10,2006,2013-11-19 00:00:00.000
15,SuperiorCard,33336866065599,11,2008,2013-01-29 00:00:00.000
16,Vista,11111985451507,8,2006,2013-12-30 00:00:00.000
17,ColonialVoice,77771220960729,8,2008,2014-01-16 00:00:00.000
18,ColonialVoice,77773971683137,8,2007,2011-12-29 00:00:00.000
19,ColonialVoice,77779803886862,9,2007,2014-02-04 00:00:00.000
20,SuperiorCard,33332150058339,3,2007,2013-12-17 00:00:00.000
21,SuperiorCard,33336474467548,3,2006,2013-09-11 00:00:00.000
22,ColonialVoice,77772030376004,3,2005,2013-12-24 00:00:00.000
23,Vista,11117174633569,7,2006,2012-04-15 00:00:00.000
24,Vista,11111658051128,11,2005,2013-08-21 00:00:00.000
25,Vista,11119905436490,1,2007,2013-01-19 00:00:00.000
26,Distinguish,55554195847998,11,2008,2013-08-27 00:00:00.000
27,SuperiorCard,33333837392825,12,2008,2013-11-11 00:00:00.000
28,SuperiorCard,33337040086193,12,2006,2013-07-31 00:00:00.000
29,SuperiorCard,33333594431481,2,2007,2014-04-25 00:00:00.000
30,Vista,11111281844021,6,2006,2014-01-13 00:00:00.000
31,Vista,11112040199986,10,2008,2009-01-15 00:00:00.000
32,Distinguish,55552506272209,6,2006,2014-01-21 00:00:00.000
33,SuperiorCard,33335588002748,2,2006,2012-01-25 00:00:00.000
34,Vista,11115274414475,10,2006,2013-11-25 00:00:00.000
35,SuperiorCard,33333028993903,2,2007,2012-08-05 00:00:00.000
36,Vista,11111169772836,11,2006,2013-09-03 00:00:00.000
37,Distinguish,55551349750603,7,2007,2014-03-23 00:00:00.000
38,Distinguish,55555420711099,7,2008,2013-09-24 00:00:00.000
39,Vista,11117546738833,5,2005,2013-09-13 00:00:00.000
40,Distinguish,55555841603354,4,2008,2013-08-25 00:00:00.000
41,Vista,11113757706549,7,2008,2014-03-22 00:00:00.000
42,Distinguish,55555053963314,3,2005,2013-07-01 00:00:00.000
43,SuperiorCard,33332773200339,3,2006,2013-09-03 00:00:00.000
